gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000269968	1162.2085376939988	6.685052011238787	0.1357546810788114	0	0
SNX32	374.5022249739724	4.149833805822583	0.11096704839163254	5.264788810629519e-307	1.1361414253338503e-302
ENSG00000265749	398.9169251460143	5.495604500722655	0.15330126633416444	6.455156188784913e-283	1.3930227055397843e-278
ENSG00000264577	390.38863231897795	4.948921716678654	0.14426717972444558	3.741852634160487e-259	8.074917984518331e-255
ENSG00000258017	905.0451449335725	3.429337096998035	0.10049351800322168	7.360916809346105e-256	1.5884858474568894e-251
TRABD2A	800.1514532800094	2.4605133771900194	0.0725415819797402	3.8770981079395884e-253	8.3667777169336315e-249
ENSG00000272540	403.6222686195359	4.754602062673815	0.14973774504221046	1.905103867067822e-222	4.11121414513236e-218
CTXN1	1106.3175993724226	-2.828978149336591	0.09208592324108454	7.885767160539643e-208	1.701748553244455e-203
ENSG00000265401	254.38045979208124	5.60573194209653	0.18863335141664087	1.3678043729322925e-195	2.9517218367878874e-191
BEST1	439.11991713103373	4.185135932893311	0.14347941398164488	5.58164503666376e-188	1.2045189989120395e-183
MFSD10	1358.038448479414	-1.7616419039683058	0.06068909060532783	8.913982203364863e-188	1.9236373594861375e-183
ATP5F1D	1164.1859362891873	-1.8065248612465108	0.06237217942003771	5.941039350849412e-187	1.282076291913303e-182
ENSG00000258232	179.85074193095343	4.212632042260926	0.146022670050493	5.856899373643241e-184	1.2639188848322113e-179
ENSG00000265496	454.0710250592812	2.642880658063241	0.09254025558708795	4.226880640827121e-180	9.121608422904928e-176
ENSG00000279605	184.6581137992228	5.636401349462282	0.20609820641358406	3.323430815559768e-166	7.171963699977979e-162
GPS2	331.27673363360384	3.062665549419586	0.11485453290307669	3.328895830020162e-157	7.18375720118351e-153
MVP-DT	246.10039948943935	2.965282268892385	0.11138003767316117	1.0319722483345547e-156	2.226996111905969e-152
G6PC3	2559.957944436803	-1.1020669467061424	0.0416395070206926	5.346173781590015e-156	1.1537043020671252e-151
DIPK1A	799.7834756446695	2.4147104369309162	0.09143732428348605	9.419560206620899e-155	2.03274109258879e-150
ENSG00000262560	210.2417325858207	4.698590814598018	0.17800187795910047	1.0466732082162519e-154	2.2587207833306718e-150
CHPF	1582.4749756838007	-1.7077136462561666	0.06533133496745812	3.986008380279281e-153	8.601806084642689e-149
ENSG00000273149	1081.238707159574	1.9877192113344275	0.07647996216617524	4.012029566619982e-151	8.657959804765922e-147
RPL30-AS1	153.6451925764472	3.899743165412272	0.1493919542775793	5.022697932130198e-151	1.0838982137536967e-146
ATP13A2	2460.338316302386	-1.1979087639865398	0.04652448909303501	6.26104195870181e-148	1.3511328546878504e-143
ENSG00000273175	670.537557004834	2.6391529866063066	0.10309565521935452	2.987841573580405e-145	6.447762115786514e-141
PPDPF	1697.6935117879284	-2.2930714274689827	0.09065782282449539	1.6405364825991037e-142	3.5402777294488656e-138
RPS28	5950.3267955590845	-1.2068274942176902	0.049200415422571385	1.3059819042682403e-134	2.8183089494108626e-130
APRT	2884.499134367155	-1.1658325716294735	0.048288890550603196	1.7624436233934872e-130	3.803353339283145e-126
COX6A1	2133.813174814523	-1.3231242882603842	0.05497029277077575	6.330787887293857e-130	1.3661840260780145e-125
ENSG00000244380	171.46395841568958	3.316529124632758	0.13893967925278158	1.569848940366676e-126	3.3877340133112866e-122
MAP1S	2029.668398922921	-1.3671832276156144	0.05770341257935856	4.31920493209847e-126	9.320844243468498e-122
TCF19	1432.9492011842456	1.34479738434377	0.05712136649980844	1.666449511101567e-124	3.596198044957182e-120
H2AZ1-DT	121.24758373610351	4.3224436195153295	0.1834626540653952	9.911330865859211e-124	2.1388652008524179e-119
RPL10P16	237.2255144173915	2.5102305966502074	0.10804159659791086	2.6061146115100907e-120	5.623995331638776e-116
LDHB	1900.3329062808277	-1.5518635890107115	0.06740268558249964	1.2363507088374459e-119	2.6680448296712085e-115
MZT2B	881.5898974511846	-1.4457440688120493	0.06317337976214357	4.695389791180536e-118	1.0132651169367597e-113
ABHD17A	811.0961487045764	-1.6785372173924087	0.07354062759247464	8.357640103408993e-118	1.8035787343156608e-113
SERINC2	902.3054515832918	-1.4216476666711886	0.0623231006464766	2.8724704982947696e-117	6.198791335320113e-113
ENSG00000247853	201.56744369244583	2.4827673511857005	0.10859521310519103	1.2343711350788861e-116	2.6637729095002363e-112
HSPBP1	1510.132492144313	-1.098107465864968	0.04818493067110628	1.3407682792852634e-116	2.8933779466975985e-112
CAPN15	1960.1370419645054	-1.3743591661174936	0.06114895962866285	7.110343417451092e-114	1.5344121094859456e-109
ENSG00000244716	164.71653717233778	2.7030267269653563	0.12027773325301575	1.6274315533791155e-112	3.511997292192131e-108
LRP3	1005.3321642312434	-1.3697268792028399	0.06143544388034841	4.127813511680994e-112	8.907821558207585e-108
ENSG00000225721	125.5627408624161	4.087666132643909	0.18311580400931923	2.82282392228677e-111	6.091654024294849e-107
TMEM160	436.51745829835266	-2.1099834305284793	0.09532246960420139	1.8991400044497913e-110	4.09834412960265e-106
GPAA1	685.226139443054	-1.5989234520568203	0.0729377365082418	6.272275427174551e-109	1.3535570371842681e-104
SLC25A22	1308.2973487457552	-1.148798033250545	0.0525883909174511	1.7792464698703033e-107	3.8396138819801146e-103
ENSG00000280195	147.5440821931055	5.337410230904236	0.24547253710061373	2.995412413259251e-106	6.464099987813464e-102
