# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/data/GRCh38.p13_reference_files/gencode.v43.primary_assembly.annotation.gtf" "-o" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/s2_count_data.txt" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam" "-F" "GTF" "--largestOverlap" "-p" "--countReadPairs" "-s" "2" "-B" "-C" "-T" "64" "-t" "gene" "-g" "gene_name" "--Rpath" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/feature_counts/" "--tmpDir" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/scripts/temp" "--verbose" 
Geneid	Chr	Start	End	Strand	Length	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control1/control1Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control2/control2Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control3/control3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control4/control4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control5/control5Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control6/control6Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control7/control7Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control8/control8Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/control/results/star_mapping_outputs/control9/control9Aligned.sortedByCoord.out.bam
DDX11L2	chr1;chr2	11869;113599036	14409;113601261	+;-	4767	5	5	4	1	4	3	5	4	4
DDX11L1	chr1	12010	13670	+	1661	0	0	0	0	0	0	0	0	0
WASH7P	chr1	14404	29570	-	15167	116	131	133	93	109	113	129	96	84
MIR6859-1	chr1	17369	17436	-	68	0	0	0	0	0	0	0	0	0
MIR1302-2HG	chr1	29554	31109	+	1556	0	1	0	2	0	2	0	1	0
MIR1302-2	chr1	30366	30503	+	138	0	0	0	0	0	0	0	0	0
FAM138A	chr1	34554	36081	-	1528	0	0	0	0	0	0	0	0	0
OR4G4P	chr1	52473	53312	+	840	0	0	0	0	0	0	0	0	0
ENSG00000290826	chr1	57598	64116	+	6519	0	0	0	0	0	0	0	0	0
OR4G11P	chr1	62949	63887	+	939	0	0	0	0	0	0	0	0	0
OR4F5	chr1	65419	71585	+	6167	0	0	0	0	0	0	0	0	0
ENSG00000238009	chr1	89295	133723	-	44429	13	11	12	10	13	14	21	7	8
ENSG00000239945	chr1	89551	91105	-	1555	0	0	0	0	0	0	0	0	0
CICP27	chr1	131025	134836	+	3812	0	0	0	0	0	0	0	0	0
ENSG00000268903	chr1	135141	135895	-	755	52	40	47	56	59	38	49	30	41
ENSG00000269981	chr1	137682	137965	-	284	30	56	75	44	43	57	37	27	49
ENSG00000239906	chr1	139790	140339	-	550	4	0	3	0	0	0	2	0	0
ENSG00000241860	chr1	141474	173862	-	32389	19	9	3	5	10	12	10	14	14
RNU6-1100P	chr1	157784	157887	-	104	0	0	0	0	0	0	0	0	0
ENSG00000241599	chr1	160446	161525	+	1080	0	0	0	0	0	0	0	0	0
DDX11L17	chr1	182696	184174	+	1479	0	1	0	0	0	0	0	0	0
WASH9P	chr1	185217	195411	-	10195	136	202	178	171	159	115	142	141	115
MIR6859-2	chr1	187891	187958	-	68	0	0	0	0	0	0	0	0	0
ENSG00000228463	chr1	257864	359681	-	101818	23	25	24	12	26	16	14	21	10
ENSG00000286448	chr1	266855	268655	+	1801	0	0	0	0	0	0	0	0	0
RPL23AP24	chr1	347982	348366	-	385	0	0	0	0	0	0	0	0	0
ENSG00000236601	chr1	358857	366052	+	7196	0	0	0	0	0	0	0	0	0
ENSG00000290385	chr1	365389	522928	-	157540	50	77	77	65	42	59	61	41	58
WBP1LP7	chr1	439870	440232	+	363	0	0	0	0	0	0	0	0	0
OR4F29	chr1	450740	451678	-	939	0	0	0	0	0	0	0	0	0
ENSG00000237094	chr1	485026	485208	-	183	0	0	0	0	0	0	0	0	0
CICP7	chr1	487101	489906	+	2806	0	0	0	0	0	0	0	0	0
ENSG00000250575	chr1	491225	493241	-	2017	0	0	0	0	0	0	0	0	0
U6	chr1;chr1;chr1;chr1;chr1;chr2;chr2;chr3;chr3;chr4;chr4;chr4;chr4;chr4;chr9;chr10;chr11;chr11;chr12;chr12;chr13;chr14;chr15;chr15;chr15;chr16;chr17;chr20;chr20;chr21;chr22;chr22;chrX;GL000213.1;KI270727.1;KI270727.1;KI270744.1	516376;43023549;247607126;43716467;180758722;47781379;88367793;129819777;139388277;13051342;29510635;48109353;70848136;135315418;64082429;102868421;87648489;132525809;31366288;45554590;18418526;24352057;21428879;65843484;98026042;72376704;90796;30713240;35769785;28743208;15273855;16141767;86481028;127840;34890;156089;51009	516479;43023637;247607201;43716556;180758817;47781465;88367862;129819876;139388364;13051411;29510737;48109410;70848218;135315522;64082534;102868519;87648549;132525887;31366366;45554659;18418632;24352157;21428985;65843558;98026139;72376760;90899;30713346;35769867;28743291;15273961;16141872;86481130;127946;34996;156195;51114	-;-;-;+;+;+;-;+;+;+;+;-;-;-;+;+;-;+;+;-;+;-;-;+;+;+;-;-;-;+;+;+;+;-;+;-;-	3379	0	0	0	0	0	0	0	0	0
ENSG00000230021	chr1	586071	827796	-	241726	47	37	27	30	37	52	29	36	36
ENSG00000235146	chr1	587629	594768	+	7140	0	0	0	0	0	0	0	0	0
MTND1P23	chr1	629062	629433	+	372	3	4	5	1	0	7	1	2	4
MTND2P28	chr1	629640	630683	+	1044	29	31	18	25	32	38	23	20	37
MTCO1P12	chr1	631074	632616	+	1543	193	210	177	85	125	189	125	148	185
ENSG00000278791	chr1	632325	632413	-	89	0	0	0	0	0	0	0	0	0
MTCO2P12	chr1	632757	633438	+	682	33	19	11	22	14	21	10	13	21
MTATP8P1	chr1	633535	633741	+	207	2	2	4	2	0	9	3	0	2
MTATP6P1	chr1	633696	634376	+	681	3126	2992	2196	1986	2106	2833	2429	2166	2629
MTCO3P12	chr1	634376	634922	+	547	19	16	6	14	8	21	14	20	13
WBP1LP6	chr1	674842	675265	+	424	0	0	0	0	0	0	0	0	0
OR4F16	chr1	685716	686654	-	939	0	0	0	0	0	0	0	0	0
