# Program:featureCounts v2.0.3; Command:"featureCounts" "-a" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/data/GRCh38.p13_reference_files/gencode.v43.primary_assembly.annotation.gtf" "-o" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/feature_counts/s2/new7122023_count_data.txt" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A2/T14-A2Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A3/T14-A3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A4/T14-A4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A3/T15A-A3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A4/T15A-A4Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A7/T15A-A7Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A1/T16-A1Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A3/T16-A3Aligned.sortedByCoord.out.bam" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A9/T16-A9Aligned.sortedByCoord.out.bam" "-F" "GTF" "--largestOverlap" "-p" "--countReadPairs" "-s" "2" "-B" "-C" "-T" "64" "-t" "gene" "-g" "gene_name" "--Rpath" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/feature_counts/" "--tmpDir" "/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/scripts/temp" "--verbose" 
Geneid	Chr	Start	End	Strand	Length	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A2/T14-A2Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A3/T14-A3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T14-A4/T14-A4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A3/T15A-A3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A4/T15A-A4Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T15A-A7/T15A-A7Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A1/T16-A1Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A3/T16-A3Aligned.sortedByCoord.out.bam	/nesi/nobackup/uoa03817/rnaseq_data_analysis/sophie_new7122023/results/star_mapping_outputs/T16-A9/T16-A9Aligned.sortedByCoord.out.bam
DDX11L2	chr1;chr2	11869;113599036	14409;113601261	+;-	4767	0	3	0	0	2	4	0	0	0
DDX11L1	chr1	12010	13670	+	1661	0	0	0	0	0	0	0	0	0
WASH7P	chr1	14404	29570	-	15167	45	74	53	59	75	50	57	36	54
MIR6859-1	chr1	17369	17436	-	68	0	0	0	0	0	0	0	0	0
MIR1302-2HG	chr1	29554	31109	+	1556	1	0	0	0	0	0	0	1	0
MIR1302-2	chr1	30366	30503	+	138	0	0	0	0	0	0	0	0	0
FAM138A	chr1	34554	36081	-	1528	0	0	0	0	0	0	0	0	0
OR4G4P	chr1	52473	53312	+	840	0	0	0	0	0	0	0	0	0
ENSG00000290826	chr1	57598	64116	+	6519	0	0	0	0	0	0	0	0	0
OR4G11P	chr1	62949	63887	+	939	0	0	0	0	0	0	0	0	0
OR4F5	chr1	65419	71585	+	6167	0	0	0	0	0	0	0	0	0
ENSG00000238009	chr1	89295	133723	-	44429	5	5	9	5	11	7	8	6	8
ENSG00000239945	chr1	89551	91105	-	1555	0	0	0	0	0	0	0	0	0
CICP27	chr1	131025	134836	+	3812	0	0	0	0	0	0	0	0	0
ENSG00000268903	chr1	135141	135895	-	755	7	9	22	7	38	20	7	14	6
ENSG00000269981	chr1	137682	137965	-	284	4	6	16	7	13	19	6	6	3
ENSG00000239906	chr1	139790	140339	-	550	0	0	2	0	0	1	0	2	0
ENSG00000241860	chr1	141474	173862	-	32389	3	6	7	9	10	3	6	14	4
RNU6-1100P	chr1	157784	157887	-	104	0	0	0	0	0	0	0	0	0
ENSG00000241599	chr1	160446	161525	+	1080	0	0	0	0	0	0	0	0	0
DDX11L17	chr1	182696	184174	+	1479	0	0	0	0	0	0	0	0	0
WASH9P	chr1	185217	195411	-	10195	50	59	81	118	101	73	59	85	75
MIR6859-2	chr1	187891	187958	-	68	0	0	0	0	0	0	0	0	0
ENSG00000228463	chr1	257864	359681	-	101818	9	8	7	9	16	16	11	19	17
ENSG00000286448	chr1	266855	268655	+	1801	0	0	0	0	0	0	0	0	0
RPL23AP24	chr1	347982	348366	-	385	0	0	0	0	0	0	0	0	0
ENSG00000236601	chr1	358857	366052	+	7196	0	0	0	0	0	0	0	0	0
ENSG00000290385	chr1	365389	522928	-	157540	39	28	50	38	52	39	47	31	40
WBP1LP7	chr1	439870	440232	+	363	0	0	0	0	0	0	0	0	0
OR4F29	chr1	450740	451678	-	939	0	0	0	0	0	0	0	0	0
ENSG00000237094	chr1	485026	485208	-	183	0	0	0	0	0	0	0	0	0
CICP7	chr1	487101	489906	+	2806	0	0	0	0	0	0	0	0	0
ENSG00000250575	chr1	491225	493241	-	2017	0	0	0	0	0	0	0	0	0
